"D_or_L","Origin_Warehouse","Destination","Carrier","ShipWeekday","Shipment_Date","Delivery_Date","Transit_Days","Distance_miles","Weight_kg","Cost"
"1","Warehouse_CHI","Los Angeles","Amazon Logistics","Saturday",2023-09-16,2023-09-29,13,410,46.8,105.98
"0","Warehouse_LA","Minneapolis","UPS","Saturday",2023-05-27,2023-06-01,5,1486,10.4,204.87
"1","Warehouse_MIA","San Francisco","UPS","Wednesday",2023-07-05,2023-07-09,4,2492,14.6,358.31
"0","Warehouse_HOU","Detroit","DHL","Sunday",2023-12-24,2023-12-28,4,605,39.2,159.9
"0","Warehouse_LA","Phoenix","USPS","Monday",2023-03-13,2023-03-16,3,373,10,197.9
"0","Warehouse_DEN","Portland","FedEx","Thursday",2023-08-31,2023-09-01,1,165,8.6,34.32
"0","Warehouse_LA","Dallas","UPS","Wednesday",2023-01-11,2023-01-15,4,1435,10.9,191.54
"0","Warehouse_SF","Detroit","USPS","Wednesday",2023-01-11,2023-01-14,3,533,35.3,102.36
"0","Warehouse_BOS","Phoenix","Amazon Logistics","Wednesday",2023-11-29,2023-12-05,6,1122,40.9,224.12
"0","Warehouse_ATL","Minneapolis","DHL","Saturday",2023-07-22,2023-07-23,1,263,22.4,70.43
"0","Warehouse_DEN","Miami","Amazon Logistics","Tuesday",2023-11-14,2023-11-19,5,1348,8.7,202.52
"0","Warehouse_DEN","Phoenix","FedEx","Wednesday",2023-01-18,2023-01-21,3,159,4.9,27.41
"0","Warehouse_BOS","Chicago","FedEx","Saturday",2023-01-21,2023-01-26,5,2054,45.1,322.54
"0","Warehouse_CHI","Miami","LaserShip","Wednesday",2023-01-04,2023-01-08,4,1350,26.5,197.9
"0","Warehouse_LA","Miami","LaserShip","Wednesday",2023-03-15,2023-03-20,5,916,13.4,197.9
"0","Warehouse_ATL","Dallas","FedEx","Friday",2023-08-18,2023-08-24,6,2218,18,305.41
"0","Warehouse_DEN","Phoenix","OnTrac","Sunday",2023-03-12,2023-03-17,5,1857,8.2,248.9
"0","Warehouse_LA","Los Angeles","OnTrac","Saturday",2023-09-02,2023-09-08,6,2001,9.6,242.9
"0","Warehouse_SF","Minneapolis","USPS","Thursday",2023-10-19,2023-10-20,1,293,37.7,77.3
"0","Warehouse_SEA","Dallas","OnTrac","Sunday",2023-10-22,2023-10-26,4,1401,20.1,209.94
"1","Warehouse_HOU","Phoenix","OnTrac","Wednesday",2023-03-22,2023-04-03,12,916,21.5,136.58
"0","Warehouse_DEN","Los Angeles","Amazon Logistics","Monday",2023-03-06,2023-03-10,4,1778,4.6,230.19
"0","Warehouse_CHI","Boston","FedEx","Monday",2023-11-06,2023-11-12,6,1041,29.5,194.07
"0","Warehouse_ATL","Los Angeles","USPS","Monday",2023-08-14,2023-09-13,30,676,8,92.47
"0","Warehouse_SF","Miami","USPS","Tuesday",2023-04-04,2023-04-05,1,448,9.9,62.2
"0","Warehouse_NYC","New York","DHL","Tuesday",2023-02-14,2023-02-19,5,2033,27.2,334.23
"0","Warehouse_DEN","Minneapolis","DHL","Tuesday",2023-09-19,2023-09-23,4,939,75.9,251.01
"0","Warehouse_DEN","Detroit","UPS","Wednesday",2023-06-14,2023-06-16,2,926,24.5,142.73
"0","Warehouse_HOU","Los Angeles","OnTrac","Wednesday",2023-07-19,2023-07-25,6,2444,38.5,330.97
"0","Warehouse_LA","Dallas","OnTrac","Thursday",2023-11-09,2023-11-13,4,1435,10.6,235.34
"1","Warehouse_HOU","Detroit","Amazon Logistics","Tuesday",2023-03-07,2023-03-12,5,1875,10.1,231.81
"0","Warehouse_LA","New York","FedEx","Sunday",2023-05-28,2023-06-02,5,2280,18.4,302.47
"0","Warehouse_MIA","Phoenix","DHL","Thursday",2023-11-16,2023-11-20,4,1808,16.7,341.36
"0","Warehouse_DEN","Atlanta","UPS","Tuesday",2023-05-30,2023-06-04,5,1790,4.1,237.12
"0","Warehouse_MIA","New York","OnTrac","Saturday",2023-04-22,2023-04-26,4,1049,5.2,127.1
"1","Warehouse_SEA","Boston","LaserShip","Sunday",2023-03-05,2023-03-18,13,461,23.7,82.89
"0","Warehouse_HOU","Portland","FedEx","Friday",2023-07-28,2023-08-02,5,1218,21.8,204.43
"0","Warehouse_LA","Los Angeles","USPS","Wednesday",2023-05-24,2023-05-30,6,2144,20,255.06
"0","Warehouse_SEA","Boston","LaserShip","Monday",2023-11-20,2023-11-24,4,1547,12.7,261.22
"0","Warehouse_HOU","Dallas","DHL","Thursday",2023-06-29,2023-07-01,2,370,22.8,76.07
"0","Warehouse_SEA","Boston","DHL","Wednesday",2023-06-21,2023-06-30,9,2400,12.6,332.46
"0","Warehouse_SEA","Atlanta","UPS","Saturday",2023-09-16,2023-09-20,4,1477,25,203.15
"0","Warehouse_DEN","Boston","DHL","Tuesday",2023-12-05,2023-12-10,5,2363,30.5,464.17
"0","Warehouse_SF","New York","Amazon Logistics","Wednesday",2023-12-06,2023-12-11,5,1442,20.6,246.74
"1","Warehouse_CHI","Denver","OnTrac","Friday",2023-08-11,2023-08-17,6,1000,46.9,188.95
"0","Warehouse_CHI","Portland","LaserShip","Monday",2023-02-27,2023-02-28,1,290,30.2,71.67
"0","Warehouse_DEN","Minneapolis","LaserShip","Tuesday",2023-02-21,2023-02-25,4,888,17.2,133.74
"0","Warehouse_HOU","New York","DHL","Wednesday",2023-03-15,2023-03-21,6,2448,14.4,391.92
"1","Warehouse_DEN","Phoenix","Amazon Logistics","Friday",2023-11-10,2023-11-22,12,385,36.5,109.9
"1","Warehouse_SF","Boston","Amazon Logistics","Wednesday",2023-03-29,2023-04-09,11,1539,17.5,198
"0","Warehouse_LA","Dallas","LaserShip","Friday",2023-07-21,2023-07-27,6,1435,60.6,242.49
"0","Warehouse_ATL","Minneapolis","Amazon Logistics","Thursday",2023-06-22,2023-06-27,5,1713,8.3,208.92
"1","Warehouse_ATL","Seattle","Amazon Logistics","Tuesday",2023-12-19,2023-12-21,2,135,20.4,44.83
"0","Warehouse_CHI","Portland","DHL","Saturday",2023-10-28,2023-11-01,4,305,37.9,100.86
"0","Warehouse_CHI","Denver","USPS","Sunday",2023-01-01,2023-01-07,6,1000,23.8,128.01
"0","Warehouse_BOS","Boston","OnTrac","Sunday",2023-09-10,2023-09-19,9,2374,15.9,284.07
"1","Warehouse_HOU","Los Angeles","OnTrac","Sunday",2023-11-26,2023-12-16,20,2313,77.8,413.72
"0","Warehouse_CHI","Detroit","USPS","Wednesday",2023-03-22,2023-03-26,4,283,8.1,41.68
"0","Warehouse_BOS","Minneapolis","OnTrac","Monday",2023-10-16,2023-10-21,5,1861,52.1,282.08
"0","Warehouse_DEN","Houston","LaserShip","Wednesday",2023-09-27,2023-10-01,4,424,6.9,53.22
"1","Warehouse_LA","Phoenix","Amazon Logistics","Wednesday",2023-01-11,2023-01-17,6,373,22.6,76.63
"0","Warehouse_ATL","Phoenix","USPS","Monday",2023-09-18,2023-09-23,5,1520,31.9,207.32
"0","Warehouse_BOS","Miami","FedEx","Monday",2023-10-23,2023-10-27,4,247,45.9,89.19
"0","Warehouse_ATL","Houston","FedEx","Wednesday",2023-07-26,2023-07-30,4,789,14.9,112.48
"0","Warehouse_CHI","Denver","Amazon Logistics","Sunday",2023-02-05,2023-02-09,4,1000,27.6,165.2
"0","Warehouse_HOU","Atlanta","DHL","Saturday",2023-03-25,2023-03-27,2,800,8.3,128.12
"0","Warehouse_ATL","Chicago","DHL","Friday",2023-10-27,2023-11-01,5,773,41.8,174.68
"1","Warehouse_DEN","Seattle","Amazon Logistics","Tuesday",2023-07-04,2023-07-09,5,1857,10.7,219.9
"0","Warehouse_MIA","Detroit","Amazon Logistics","Monday",2023-07-10,2023-07-13,3,1155,8.3,154.62
"0","Warehouse_NYC","Houston","UPS","Saturday",2023-06-03,2023-06-07,4,1154,67.9,253.84
"0","Warehouse_MIA","Denver","UPS","Tuesday",2023-11-07,2023-11-11,4,1477,10.3,233.37
"0","Warehouse_NYC","Houston","OnTrac","Monday",2023-01-30,2023-02-03,4,1541,22.7,218.75
"0","Warehouse_LA","Miami","DHL","Tuesday",2023-11-07,2023-11-10,3,622,19,127.07
"0","Warehouse_BOS","Minneapolis","Amazon Logistics","Monday",2023-04-24,2023-04-26,2,844,43.4,197.9
"0","Warehouse_SEA","Phoenix","Amazon Logistics","Thursday",2023-04-27,2023-04-30,3,1608,12.7,192.88
"0","Warehouse_SEA","Atlanta","UPS","Tuesday",2023-01-10,2023-01-14,4,1324,45.3,240.32
"0","Warehouse_CHI","Portland","UPS","Thursday",2023-08-17,2023-08-22,5,2328,12.3,310.02
"1","Warehouse_SF","Detroit","USPS","Tuesday",2023-10-10,2023-10-15,5,1608,52.2,253.33
"0","Warehouse_ATL","Phoenix","UPS","Thursday",2023-01-12,2023-01-21,9,2388,8.4,280.39
"0","Warehouse_HOU","Chicago","Amazon Logistics","Wednesday",2023-07-12,2023-07-15,3,1028,13.9,136.58
"1","Warehouse_LA","Atlanta","LaserShip","Friday",2023-01-20,2023-01-29,9,2061,41,278.39
"0","Warehouse_LA","Chicago","USPS","Saturday",2023-10-14,2023-10-19,5,1772,26.1,232.56
"0","Warehouse_LA","Chicago","USPS","Friday",2023-10-20,2023-10-24,4,1707,26.2,210.07
"1","Warehouse_SEA","Detroit","USPS","Sunday",2023-01-15,2023-02-14,30,636,47.6,135.78
"0","Warehouse_NYC","Detroit","USPS","Saturday",2023-10-28,2023-11-02,5,1319,42.4,192.86
"0","Warehouse_DEN","Boston","OnTrac","Sunday",2023-12-17,2023-12-21,4,383,8.2,69.79
"0","Warehouse_SEA","Houston","UPS","Friday",2023-09-01,2023-09-04,3,325,26.1,75.76
"0","Warehouse_SF","Portland","UPS","Monday",2023-04-03,2023-04-05,2,347,21.1,73.7
"0","Warehouse_SF","Portland","Amazon Logistics","Friday",2023-06-23,2023-06-25,2,509,15.7,87.18
"0","Warehouse_SEA","Minneapolis","OnTrac","Saturday",2023-12-16,2023-12-18,2,421,14.3,88.22
"0","Warehouse_HOU","Minneapolis","OnTrac","Monday",2023-08-28,2023-09-02,5,2065,34.3,287.66
"0","Warehouse_CHI","Los Angeles","UPS","Saturday",2023-05-13,2023-05-20,7,2361,13.7,341.16
"0","Warehouse_MIA","San Francisco","DHL","Thursday",2023-12-28,2024-01-01,4,1415,31.2,274.73
"0","Warehouse_SF","Detroit","LaserShip","Sunday",2023-11-19,2023-11-24,5,1679,18.7,270.75
"0","Warehouse_SF","Boston","DHL","Tuesday",2023-09-05,2023-09-08,3,1180,30,187.33
"0","Warehouse_SEA","Dallas","USPS","Friday",2023-02-10,2023-02-13,3,1515,20.7,201.34
"0","Warehouse_CHI","Detroit","Amazon Logistics","Friday",2023-11-10,2023-11-12,2,283,27.2,87.22
"1","Warehouse_MIA","Phoenix","UPS","Friday",2023-02-24,2023-03-04,8,517,10.6,78.78
"0","Warehouse_DEN","Minneapolis","Amazon Logistics","Tuesday",2023-03-21,2023-03-24,3,140,6.9,23.19
"0","Warehouse_SEA","Los Angeles","FedEx","Saturday",2023-09-23,2023-09-29,6,2081,17.1,309.74
"0","Warehouse_DEN","Los Angeles","UPS","Friday",2023-06-09,2023-06-15,6,1885,33.1,283.18
"0","Warehouse_SF","Portland","OnTrac","Friday",2023-08-25,2023-08-27,2,604,18.7,90.94
"0","Warehouse_SF","Portland","DHL","Tuesday",2023-06-06,2023-06-10,4,847,21.1,141.98
"1","Warehouse_BOS","Boston","FedEx","Tuesday",2023-12-12,2023-12-23,11,2247,55.1,474.36
"0","Warehouse_SF","Chicago","OnTrac","Tuesday",2023-04-25,2023-05-01,6,2420,14.6,293.83
"0","Warehouse_MIA","Denver","FedEx","Monday",2023-03-20,2023-03-26,6,2294,20.5,315.46
"0","Warehouse_SEA","Atlanta","DHL","Friday",2023-04-14,2023-04-19,5,2091,16.8,303.11
"0","Warehouse_BOS","Los Angeles","OnTrac","Sunday",2023-03-19,2023-03-23,4,1358,31.2,206.1
"0","Warehouse_SF","Los Angeles","FedEx","Wednesday",2023-09-27,2023-09-29,2,484,16,87.01
"0","Warehouse_MIA","Miami","FedEx","Thursday",2023-11-16,2023-11-17,1,675,11,122.5
"0","Warehouse_ATL","Detroit","USPS","Friday",2023-06-09,2023-06-15,6,1884,37.9,236.61
"0","Warehouse_MIA","Chicago","FedEx","Saturday",2023-08-12,2023-08-17,5,2196,21.8,299.4
"0","Warehouse_CHI","Atlanta","USPS","Wednesday",2023-04-26,2023-05-02,6,2325,6,253.02
"0","Warehouse_BOS","Dallas","UPS","Friday",2023-02-10,2023-02-15,5,2050,14.8,286.7
"1","Warehouse_DEN","Dallas","UPS","Friday",2023-07-28,2023-08-03,6,474,9.1,75.28
"0","Warehouse_ATL","Los Angeles","OnTrac","Tuesday",2023-09-26,2023-09-27,1,498,9.5,77.13
"0","Warehouse_BOS","Portland","OnTrac","Sunday",2023-11-19,2023-11-23,4,1512,33.6,291.85
"0","Warehouse_MIA","Atlanta","USPS","Tuesday",2023-11-07,2023-11-12,5,1076,40.3,206.28
"0","Warehouse_NYC","Portland","OnTrac","Friday",2023-03-24,2023-03-27,3,1115,15,141.6
"0","Warehouse_SF","Chicago","LaserShip","Thursday",2023-09-14,2023-09-16,2,242,75.4,109.7
"0","Warehouse_LA","Detroit","USPS","Saturday",2023-12-23,2023-12-24,1,534,6.4,78.84
"0","Warehouse_CHI","San Francisco","OnTrac","Wednesday",2023-08-16,2023-08-22,6,1059,44.4,179.93
"0","Warehouse_SF","Minneapolis","Amazon Logistics","Tuesday",2023-06-27,2023-07-02,5,1060,11.7,140.32
"0","Warehouse_HOU","Los Angeles","UPS","Friday",2023-03-03,2023-03-08,5,2330,24.4,326.92
"0","Warehouse_DEN","Chicago","FedEx","Thursday",2023-09-21,2023-09-26,5,1867,20.9,268.01
"0","Warehouse_MIA","Boston","OnTrac","Sunday",2023-09-03,2023-09-11,8,2465,17.7,197.9
"0","Warehouse_SEA","Dallas","UPS","Thursday",2023-06-15,2023-06-21,6,2096,9.2,286.15
"0","Warehouse_LA","San Francisco","Amazon Logistics","Saturday",2023-08-12,2023-08-19,7,2409,32.4,332.08
"0","Warehouse_SF","Boston","FedEx","Friday",2023-01-27,2023-01-30,3,1032,110.9,283.94
"0","Warehouse_NYC","Atlanta","FedEx","Monday",2023-08-07,2023-08-09,2,870,50.4,175.48
"0","Warehouse_LA","Portland","FedEx","Thursday",2023-06-01,2023-06-07,6,1616,54.4,284.26
"1","Warehouse_SEA","Dallas","DHL","Sunday",2023-03-05,2023-03-17,12,1366,34.5,233.71
"0","Warehouse_LA","Denver","UPS","Sunday",2023-04-09,2023-04-15,6,1802,9.5,228.41
"0","Warehouse_ATL","Detroit","Amazon Logistics","Monday",2023-05-15,2023-06-14,30,196,58,90.41
"0","Warehouse_BOS","Atlanta","OnTrac","Monday",2023-12-18,2023-12-25,7,2425,10.8,400.75
"0","Warehouse_SEA","Atlanta","OnTrac","Friday",2023-03-10,2023-03-14,4,1641,26,222.33
"1","Warehouse_ATL","San Francisco","Amazon Logistics","Friday",2023-12-01,2023-12-06,5,129,6.5,28.34
"0","Warehouse_ATL","Portland","LaserShip","Saturday",2023-10-28,2023-11-01,4,1649,6.9,194.18
"1","Warehouse_MIA","Boston","DHL","Sunday",2023-02-12,2023-03-04,20,1289,29.5,224.76
"0","Warehouse_NYC","Dallas","LaserShip","Sunday",2023-12-17,2023-12-18,1,273,12.7,56.43
"0","Warehouse_HOU","Miami","UPS","Tuesday",2023-07-11,2023-07-14,3,940,29.1,160.14
"0","Warehouse_ATL","Detroit","USPS","Friday",2023-11-24,2023-11-28,4,1913,34.7,329.19
"0","Warehouse_LA","San Francisco","LaserShip","Tuesday",2023-06-27,2023-06-28,1,252,13.3,42.44
"0","Warehouse_CHI","Atlanta","OnTrac","Saturday",2023-12-02,2023-12-07,5,1040,9.6,154.66
"0","Warehouse_BOS","New York","FedEx","Friday",2023-05-05,2023-05-11,6,2108,6.3,267.55
"0","Warehouse_SF","Phoenix","LaserShip","Tuesday",2023-10-03,2023-10-07,4,627,15.6,95.5
"1","Warehouse_SEA","Houston","FedEx","Friday",2023-04-21,2023-04-22,1,178,8.6,33.61
"0","Warehouse_MIA","Denver","USPS","Thursday",2023-08-31,2023-09-02,2,616,34.1,114.04
"0","Warehouse_HOU","Atlanta","OnTrac","Saturday",2023-02-18,2023-02-20,2,800,21.1,109.65
"0","Warehouse_LA","Dallas","Amazon Logistics","Wednesday",2023-06-14,2023-06-18,4,1435,33.8,204.1
"0","Warehouse_ATL","Minneapolis","Amazon Logistics","Tuesday",2023-04-25,2023-05-01,6,1727,331.7,242.34
"0","Warehouse_HOU","Chicago","DHL","Friday",2023-09-22,2023-09-26,4,2007,9.5,271.59
"1","Warehouse_NYC","Dallas","LaserShip","Tuesday",2023-06-06,2023-06-14,8,1619,21.6,221.42
"0","Warehouse_ATL","Chicago","DHL","Wednesday",2023-01-18,2023-01-25,7,2344,10,360.44
"0","Warehouse_MIA","Dallas","OnTrac","Saturday",2023-11-04,2023-12-04,30,2242,7.8,330.04
"0","Warehouse_NYC","Miami","UPS","Friday",2023-03-17,2023-03-18,1,283,36.3,77.48
"0","Warehouse_SF","Boston","Amazon Logistics","Wednesday",2023-01-04,2023-01-11,7,1324,14.6,188.17
"1","Warehouse_MIA","Minneapolis","FedEx","Saturday",2023-12-09,2023-12-14,5,849,8.8,157.81
"0","Warehouse_ATL","Denver","LaserShip","Friday",2023-08-04,2023-08-05,1,212,5.9,30.32
"0","Warehouse_SEA","Denver","FedEx","Tuesday",2023-02-21,2023-02-27,6,1035,11.1,139.42
"0","Warehouse_LA","Phoenix","USPS","Tuesday",2023-06-13,2023-06-14,1,373,1062.2,51.54
"0","Warehouse_ATL","Atlanta","USPS","Saturday",2023-09-16,2023-09-19,3,569,58.9,136.22
"0","Warehouse_DEN","Seattle","OnTrac","Sunday",2023-04-23,2023-04-28,5,1171,23,166.87
"0","Warehouse_HOU","New York","DHL","Thursday",2023-02-09,2023-02-12,3,462,23,94.01
"0","Warehouse_HOU","San Francisco","FedEx","Monday",2023-05-08,2023-05-12,4,1761,18.5,232.87
"0","Warehouse_HOU","Minneapolis","DHL","Tuesday",2023-01-31,2023-02-02,2,658,16.8,118.63
"0","Warehouse_HOU","Phoenix","DHL","Friday",2023-10-20,2023-10-23,3,978,14.2,161.26
"0","Warehouse_CHI","Phoenix","DHL","Sunday",2023-01-22,2023-01-25,3,1349,45.1,238.38
"0","Warehouse_ATL","Houston","Amazon Logistics","Wednesday",2023-03-29,2023-03-30,1,483,19,77.14
"0","Warehouse_DEN","Houston","FedEx","Friday",2023-04-14,2023-04-21,7,1707,9.9,256.92
"0","Warehouse_ATL","Dallas","USPS","Monday",2023-09-25,2023-09-30,5,2333,46.2,329.57
"0","Warehouse_NYC","Chicago","LaserShip","Monday",2023-12-04,2023-12-06,2,790,10.2,120.04
"0","Warehouse_CHI","San Francisco","DHL","Monday",2023-04-03,2023-04-11,8,1605,5.2,216.66
"0","Warehouse_SF","Seattle","UPS","Wednesday",2023-11-01,2023-11-05,4,1019,26,183.17
"0","Warehouse_NYC","San Francisco","USPS","Saturday",2023-09-16,2023-09-20,4,1945,13.2,256.53
"0","Warehouse_HOU","Phoenix","Amazon Logistics","Saturday",2023-04-01,2023-04-03,2,804,55.5,169.22
"0","Warehouse_LA","Dallas","Amazon Logistics","Sunday",2023-09-17,2023-09-23,6,1435,23.9,188.32
"0","Warehouse_SEA","Seattle","FedEx","Wednesday",2023-11-29,2023-12-05,6,1211,34,234.67
"0","Warehouse_HOU","Los Angeles","DHL","Friday",2023-07-28,2023-08-01,4,916,29.3,171.21
"0","Warehouse_BOS","Chicago","USPS","Friday",2023-04-14,2023-04-18,4,1941,87.5,322.09
"0","Warehouse_CHI","Houston","OnTrac","Friday",2023-09-29,2023-10-04,5,1560,6.6,211.32
"0","Warehouse_BOS","Chicago","DHL","Thursday",2023-09-14,2023-09-19,5,1843,14.2,279.38
"0","Warehouse_SEA","Seattle","OnTrac","Monday",2023-03-06,2023-03-14,8,2418,8.3,274.13
"1","Warehouse_BOS","San Francisco","LaserShip","Wednesday",2023-01-04,2023-01-21,17,2067,18,271.68
"0","Warehouse_NYC","Portland","OnTrac","Saturday",2023-01-21,2023-01-23,2,568,45,124.14
"0","Warehouse_NYC","San Francisco","FedEx","Friday",2023-06-09,2023-06-15,6,906,8.1,119.16
"0","Warehouse_SEA","Houston","USPS","Wednesday",2023-01-18,2023-01-23,5,642,16.3,87.95
"0","Warehouse_CHI","Houston","USPS","Friday",2023-11-03,2023-11-08,5,1954,10.9,281.08
"0","Warehouse_MIA","Boston","FedEx","Wednesday",2023-03-15,2023-03-21,6,2192,6,311.67
"0","Warehouse_SF","Denver","UPS","Friday",2023-09-15,2023-09-18,3,1113,33.6,195.61
"0","Warehouse_SF","Detroit","DHL","Friday",2023-02-17,2023-02-25,8,1837,11.8,283.34
"0","Warehouse_SF","New York","USPS","Monday",2023-09-18,2023-09-19,1,447,68.9,197.9
"0","Warehouse_LA","Minneapolis","FedEx","Wednesday",2023-08-16,2023-08-17,1,162,21.4,49.49
"0","Warehouse_SEA","Minneapolis","USPS","Monday",2023-02-27,2023-03-05,6,2454,31.3,308.28
"0","Warehouse_HOU","Dallas","LaserShip","Wednesday",2023-10-25,2023-10-27,2,603,38.9,114.76
"0","Warehouse_BOS","Chicago","LaserShip","Saturday",2023-12-09,2023-12-13,4,1340,29,228.35
"0","Warehouse_SF","Phoenix","USPS","Sunday",2023-07-16,2023-07-20,4,1963,39.6,270.85
"0","Warehouse_LA","New York","LaserShip","Wednesday",2023-05-03,2023-05-08,5,2254,11.8,270.13
"0","Warehouse_LA","Dallas","USPS","Sunday",2023-02-19,2023-02-23,4,1435,45.3,195.45
"0","Warehouse_LA","Dallas","DHL","Monday",2023-08-28,2023-09-03,6,1435,19.7,244.45
"1","Warehouse_CHI","Houston","UPS","Friday",2023-04-21,2023-04-25,4,195,8.7,35.59
"0","Warehouse_MIA","Los Angeles","LaserShip","Monday",2023-10-16,2023-10-22,6,1072,10.5,133.36
"0","Warehouse_HOU","Denver","DHL","Sunday",2023-12-17,2023-12-20,3,1030,52.6,258.14
"0","Warehouse_MIA","Atlanta","FedEx","Sunday",2023-06-04,2023-06-09,5,1363,27.7,237.6
"1","Warehouse_NYC","Minneapolis","USPS","Tuesday",2023-04-25,2023-04-27,2,515,29.6,84.55
"0","Warehouse_SEA","Detroit","OnTrac","Sunday",2023-09-03,2023-09-06,3,262,10.8,48.75
"0","Warehouse_SEA","New York","Amazon Logistics","Sunday",2023-02-19,2023-02-23,4,1866,10.6,217.45
"1","Warehouse_CHI","Phoenix","DHL","Wednesday",2023-12-20,2024-01-06,17,1998,17.9,373.8
"0","Warehouse_DEN","Chicago","UPS","Sunday",2023-07-16,2023-07-21,5,1304,14.8,182.07
"0","Warehouse_SEA","Dallas","UPS","Wednesday",2023-04-19,2023-04-21,2,187,11.9,41.55
"0","Warehouse_LA","Chicago","USPS","Friday",2023-03-31,2023-04-05,5,1486,26.7,209.87
"0","Warehouse_SF","New York","Amazon Logistics","Sunday",2023-01-08,2023-01-12,4,1468,7.7,170.97
"0","Warehouse_CHI","Seattle","Amazon Logistics","Monday",2023-03-27,2023-04-01,5,2283,17.8,323.01
"0","Warehouse_SF","Houston","UPS","Thursday",2023-01-19,2023-01-23,4,1950,57.6,346.17
"1","Warehouse_MIA","Detroit","LaserShip","Thursday",2023-08-24,2023-09-02,9,119,13.4,31.36
"0","Warehouse_MIA","Chicago","LaserShip","Tuesday",2023-03-07,2023-03-10,3,983,11.5,143.87
"1","Warehouse_DEN","Los Angeles","USPS","Saturday",2023-02-18,2023-02-20,2,344,18.6,64.53
"0","Warehouse_BOS","Detroit","Amazon Logistics","Wednesday",2023-08-23,2023-08-28,5,1996,26.8,280.97
"1","Warehouse_DEN","Los Angeles","OnTrac","Sunday",2023-06-25,2023-07-01,6,1671,8.6,219.42
"0","Warehouse_NYC","Miami","FedEx","Friday",2023-12-22,2023-12-26,4,829,53.2,204.86
"0","Warehouse_SF","Los Angeles","Amazon Logistics","Thursday",2023-08-31,2023-09-06,6,1508,14.9,186.3
"0","Warehouse_LA","Boston","DHL","Saturday",2023-06-17,2023-06-20,3,1504,59.4,316.73
"0","Warehouse_CHI","Seattle","USPS","Friday",2023-06-09,2023-06-13,4,1844,16.9,213.15
"0","Warehouse_HOU","Denver","FedEx","Monday",2023-02-06,2023-02-10,4,1030,13.4,139.6
"0","Warehouse_SEA","New York","DHL","Wednesday",2023-08-30,2023-09-01,2,319,11.4,65.29
"0","Warehouse_SEA","Chicago","DHL","Tuesday",2023-04-18,2023-04-24,6,1635,10.8,256.45
"0","Warehouse_MIA","Denver","FedEx","Sunday",2023-09-03,2023-09-06,3,1058,68.5,235.28
"0","Warehouse_MIA","Denver","FedEx","Monday",2023-01-02,2023-01-03,1,309,22.1,69.52
"0","Warehouse_DEN","Houston","Amazon Logistics","Thursday",2023-12-28,2023-12-30,2,1002,9,149.84
"0","Warehouse_SF","Denver","DHL","Thursday",2023-09-28,2023-09-30,2,295,10.7,51.05
"0","Warehouse_ATL","Seattle","UPS","Thursday",2023-08-10,2023-08-15,5,2252,4.4,316.41
"0","Warehouse_LA","Seattle","UPS","Sunday",2023-07-16,2023-07-21,5,1135,39,195.48
"0","Warehouse_LA","Los Angeles","Amazon Logistics","Tuesday",2023-06-27,2023-07-03,6,2378,15.9,331.92
"0","Warehouse_SEA","Minneapolis","USPS","Thursday",2023-11-30,2023-12-04,4,1473,10.3,227.04
"0","Warehouse_MIA","Detroit","LaserShip","Thursday",2023-12-28,2024-01-01,4,1433,26.9,260.4
"0","Warehouse_MIA","Houston","FedEx","Friday",2023-10-20,2023-10-22,2,239,51.6,103.41
"0","Warehouse_ATL","Atlanta","UPS","Wednesday",2023-09-13,2023-09-18,5,2461,8.9,298.41
"0","Warehouse_NYC","Miami","DHL","Thursday",2023-11-30,2023-12-05,5,1588,12.5,283.78
"0","Warehouse_BOS","Denver","USPS","Wednesday",2023-08-30,2023-08-31,1,328,9.9,52.96
"0","Warehouse_BOS","Los Angeles","UPS","Tuesday",2023-09-19,2023-09-24,5,2213,11.2,306.47
"1","Warehouse_SF","Phoenix","USPS","Sunday",2023-01-08,2023-01-20,12,2186,19.8,263.66
"1","Warehouse_LA","Denver","FedEx","Friday",2023-07-07,2023-07-18,11,1228,16.5,196.73
"0","Warehouse_CHI","Portland","LaserShip","Sunday",2023-09-03,2023-09-07,4,1553,12.1,206.41
"0","Warehouse_ATL","Los Angeles","OnTrac","Monday",2023-03-20,2023-03-24,4,1225,50.9,224.98
"0","Warehouse_ATL","Atlanta","Amazon Logistics","Thursday",2023-07-20,2023-07-23,3,1428,20.5,202.83
"0","Warehouse_HOU","Portland","LaserShip","Tuesday",2023-12-26,2023-12-27,1,267,24.1,79.56
"0","Warehouse_ATL","Minneapolis","UPS","Monday",2023-03-13,2023-03-14,1,650,8.9,89.78
"0","Warehouse_HOU","Boston","USPS","Monday",2023-11-27,2023-12-03,6,2479,80,485.62
"0","Warehouse_MIA","Houston","UPS","Thursday",2023-03-30,2023-04-04,5,1859,15.4,241.05
"1","Warehouse_LA","Phoenix","USPS","Wednesday",2023-02-01,2023-02-09,8,373,21.4,68.02
"0","Warehouse_LA","Boston","OnTrac","Sunday",2023-07-02,2023-07-04,2,912,6.6,115.73
"0","Warehouse_BOS","Atlanta","DHL","Friday",2023-06-16,2023-06-18,2,490,27.4,98.31
"0","Warehouse_CHI","Miami","LaserShip","Thursday",2023-06-15,2023-06-18,3,1350,20.1,195.91
"1","Warehouse_ATL","Portland","Amazon Logistics","Tuesday",2023-04-18,2023-05-02,14,1572,24.7,221.91
